div,season,phase,date,home,away,fh,fa
DEN,2026-27,regular,,AGF,Brøndby,1,1
DEN,2026-27,regular,,AGF,OB,2,2
DEN,2026-27,regular,,Brøndby,Silkeborg,3,1
DEN,2026-27,regular,,Brøndby,Sønderjyske,3,2
DEN,2026-27,regular,,Brøndby,Viborg,1,0
DEN,2026-27,regular,,Copenhagen,Lyngby,3,2
DEN,2026-27,regular,,Horsens,Brøndby,0,2
DEN,2026-27,regular,,Horsens,Lyngby,2,1
DEN,2026-27,regular,,Horsens,Nordsjælland,1,1
DEN,2026-27,regular,,Horsens,Viborg,2,3
DEN,2026-27,regular,,Lyngby,AGF,2,2
DEN,2026-27,regular,,Lyngby,Midtjylland,1,1
DEN,2026-27,regular,,Lyngby,OB,1,1
DEN,2026-27,regular,,Midtjylland,Horsens,2,1
DEN,2026-27,regular,,Midtjylland,Randers,1,0
DEN,2026-27,regular,,Nordsjælland,Brøndby,3,1
DEN,2026-27,regular,,Nordsjælland,Randers,1,0
DEN,2026-27,regular,,Nordsjælland,Silkeborg,1,0
DEN,2026-27,regular,,OB,Horsens,1,2
DEN,2026-27,regular,,OB,Sønderjyske,1,0
DEN,2026-27,regular,,Randers,AGF,2,1
DEN,2026-27,regular,,Randers,Copenhagen,0,4
DEN,2026-27,regular,,Randers,Lyngby,2,0
DEN,2026-27,regular,,Randers,Silkeborg,1,1
DEN,2026-27,regular,,Silkeborg,Copenhagen,1,3
DEN,2026-27,regular,,Silkeborg,Midtjylland,1,1
DEN,2026-27,regular,,Silkeborg,OB,1,0
DEN,2026-27,regular,,Sønderjyske,Midtjylland,2,3
DEN,2026-27,regular,,Sønderjyske,Nordsjælland,0,3
DEN,2026-27,regular,,Sønderjyske,Viborg,0,0
DEN,2026-27,regular,,Viborg,AGF,2,1
DEN,2026-27,regular,,Viborg,Copenhagen,4,0
DEN,2026-27,regular,,Viborg,OB,1,0
