div,season,phase,date,home,away,fh,fa
IRL,2025,regular,,Bohemians,Derry City,1,0
IRL,2025,regular,,Bohemians,Drogheda United,0,1
IRL,2025,regular,,Bohemians,Cork City,1,0
IRL,2025,regular,,Bohemians,Galway United,0,2
IRL,2025,regular,,Bohemians,Shamrock Rovers,1,0
IRL,2025,regular,,Bohemians,Shelbourne,1,0
IRL,2025,regular,,Bohemians,Sligo Rovers,4,2
IRL,2025,regular,,Bohemians,St Patrick's Athletic,2,1
IRL,2025,regular,,Bohemians,Waterford,1,2
IRL,2025,regular,,Bohemians,Derry City,3,4
IRL,2025,regular,,Bohemians,Drogheda United,0,1
IRL,2025,regular,,Bohemians,Cork City,3,0
IRL,2025,regular,,Bohemians,Galway United,3,0
IRL,2025,regular,,Bohemians,Shamrock Rovers,2,0
IRL,2025,regular,,Bohemians,Shelbourne,2,3
IRL,2025,regular,,Bohemians,Sligo Rovers,1,1
IRL,2025,regular,,Bohemians,St Patrick's Athletic,0,0
IRL,2025,regular,,Bohemians,Waterford,2,1
IRL,2025,regular,,Derry City,Bohemians,1,0
IRL,2025,regular,,Derry City,Drogheda United,1,3
IRL,2025,regular,,Derry City,Cork City,2,1
IRL,2025,regular,,Derry City,Galway United,1,1
IRL,2025,regular,,Derry City,Shamrock Rovers,1,2
IRL,2025,regular,,Derry City,Shelbourne,2,0
IRL,2025,regular,,Derry City,Sligo Rovers,3,0
IRL,2025,regular,,Derry City,St Patrick's Athletic,1,0
IRL,2025,regular,,Derry City,Waterford,1,2
IRL,2025,regular,,Derry City,Bohemians,1,1
IRL,2025,regular,,Derry City,Drogheda United,3,0
IRL,2025,regular,,Derry City,Cork City,0,0
IRL,2025,regular,,Derry City,Galway United,1,1
IRL,2025,regular,,Derry City,Shamrock Rovers,2,1
IRL,2025,regular,,Derry City,Shelbourne,1,1
IRL,2025,regular,,Derry City,Sligo Rovers,1,0
IRL,2025,regular,,Derry City,St Patrick's Athletic,2,2
IRL,2025,regular,,Derry City,Waterford,7,2
IRL,2025,regular,,Drogheda United,Bohemians,1,0
IRL,2025,regular,,Drogheda United,Derry City,1,1
IRL,2025,regular,,Drogheda United,Cork City,3,2
IRL,2025,regular,,Drogheda United,Galway United,1,1
IRL,2025,regular,,Drogheda United,Shamrock Rovers,1,2
IRL,2025,regular,,Drogheda United,Shelbourne,2,2
IRL,2025,regular,,Drogheda United,Sligo Rovers,3,0
IRL,2025,regular,,Drogheda United,St Patrick's Athletic,0,0
IRL,2025,regular,,Drogheda United,Waterford,2,0
IRL,2025,regular,,Drogheda United,Bohemians,1,4
IRL,2025,regular,,Drogheda United,Derry City,1,1
IRL,2025,regular,,Drogheda United,Cork City,1,0
IRL,2025,regular,,Drogheda United,Galway United,1,0
IRL,2025,regular,,Drogheda United,Shamrock Rovers,1,2
IRL,2025,regular,,Drogheda United,Shelbourne,2,1
IRL,2025,regular,,Drogheda United,Sligo Rovers,1,0
IRL,2025,regular,,Drogheda United,St Patrick's Athletic,0,1
IRL,2025,regular,,Drogheda United,Waterford,0,0
IRL,2025,regular,,Cork City,Bohemians,2,1
IRL,2025,regular,,Cork City,Derry City,1,2
IRL,2025,regular,,Cork City,Drogheda United,1,1
IRL,2025,regular,,Cork City,Galway United,2,2
IRL,2025,regular,,Cork City,Shamrock Rovers,1,1
IRL,2025,regular,,Cork City,Shelbourne,1,1
IRL,2025,regular,,Cork City,Sligo Rovers,1,1
IRL,2025,regular,,Cork City,St Patrick's Athletic,0,2
IRL,2025,regular,,Cork City,Waterford,2,1
IRL,2025,regular,,Cork City,Bohemians,0,2
IRL,2025,regular,,Cork City,Derry City,0,1
IRL,2025,regular,,Cork City,Drogheda United,1,1
IRL,2025,regular,,Cork City,Galway United,1,0
IRL,2025,regular,,Cork City,Shamrock Rovers,1,1
IRL,2025,regular,,Cork City,Shelbourne,1,2
IRL,2025,regular,,Cork City,Sligo Rovers,2,3
IRL,2025,regular,,Cork City,St Patrick's Athletic,0,0
IRL,2025,regular,,Cork City,Waterford,2,0
IRL,2025,regular,,Galway United,Bohemians,1,2
IRL,2025,regular,,Galway United,Derry City,2,3
IRL,2025,regular,,Galway United,Drogheda United,2,1
IRL,2025,regular,,Galway United,Cork City,2,1
IRL,2025,regular,,Galway United,Shamrock Rovers,0,1
IRL,2025,regular,,Galway United,Shelbourne,1,1
IRL,2025,regular,,Galway United,Sligo Rovers,0,1
IRL,2025,regular,,Galway United,St Patrick's Athletic,2,1
IRL,2025,regular,,Galway United,Waterford,1,0
IRL,2025,regular,,Galway United,Bohemians,2,0
IRL,2025,regular,,Galway United,Derry City,1,2
IRL,2025,regular,,Galway United,Drogheda United,1,1
IRL,2025,regular,,Galway United,Cork City,2,1
IRL,2025,regular,,Galway United,Shamrock Rovers,0,0
IRL,2025,regular,,Galway United,Shelbourne,1,1
IRL,2025,regular,,Galway United,Sligo Rovers,0,1
IRL,2025,regular,,Galway United,St Patrick's Athletic,3,1
IRL,2025,regular,,Galway United,Waterford,2,4
IRL,2025,regular,,Shamrock Rovers,Bohemians,2,3
IRL,2025,regular,,Shamrock Rovers,Derry City,0,0
IRL,2025,regular,,Shamrock Rovers,Drogheda United,3,0
IRL,2025,regular,,Shamrock Rovers,Cork City,4,1
IRL,2025,regular,,Shamrock Rovers,Galway United,0,0
IRL,2025,regular,,Shamrock Rovers,Shelbourne,2,2
IRL,2025,regular,,Shamrock Rovers,Sligo Rovers,2,0
IRL,2025,regular,,Shamrock Rovers,St Patrick's Athletic,1,0
IRL,2025,regular,,Shamrock Rovers,Waterford,2,0
IRL,2025,regular,,Shamrock Rovers,Bohemians,2,1
IRL,2025,regular,,Shamrock Rovers,Derry City,2,0
IRL,2025,regular,,Shamrock Rovers,Drogheda United,2,1
IRL,2025,regular,,Shamrock Rovers,Cork City,4,1
IRL,2025,regular,,Shamrock Rovers,Galway United,1,0
IRL,2025,regular,,Shamrock Rovers,Shelbourne,0,1
IRL,2025,regular,,Shamrock Rovers,Sligo Rovers,1,2
IRL,2025,regular,,Shamrock Rovers,St Patrick's Athletic,4,0
IRL,2025,regular,,Shamrock Rovers,Waterford,1,0
IRL,2025,regular,,Shelbourne,Bohemians,1,0
IRL,2025,regular,,Shelbourne,Derry City,3,1
IRL,2025,regular,,Shelbourne,Drogheda United,0,1
IRL,2025,regular,,Shelbourne,Cork City,1,1
IRL,2025,regular,,Shelbourne,Galway United,2,2
IRL,2025,regular,,Shelbourne,Shamrock Rovers,1,1
IRL,2025,regular,,Shelbourne,Sligo Rovers,3,2
IRL,2025,regular,,Shelbourne,St Patrick's Athletic,2,1
IRL,2025,regular,,Shelbourne,Waterford,0,1
IRL,2025,regular,,Shelbourne,Bohemians,2,2
IRL,2025,regular,,Shelbourne,Derry City,0,1
IRL,2025,regular,,Shelbourne,Drogheda United,0,0
IRL,2025,regular,,Shelbourne,Cork City,3,1
IRL,2025,regular,,Shelbourne,Galway United,1,0
IRL,2025,regular,,Shelbourne,Shamrock Rovers,1,2
