div,season,phase,date,home,away,fh,fa
JAP,2025,regular,,Albirex Niigata,Avispa Fukuoka,0,1
JAP,2025,regular,,Albirex Niigata,Cerezo Osaka,2,2
JAP,2025,regular,,Albirex Niigata,Fagiano Okayama,1,1
JAP,2025,regular,,Albirex Niigata,Gamba Osaka,3,3
JAP,2025,regular,,Albirex Niigata,Kashima Antlers,1,2
JAP,2025,regular,,Albirex Niigata,Kashiwa Reysol,1,3
JAP,2025,regular,,Albirex Niigata,Kawasaki Frontale,1,1
JAP,2025,regular,,Albirex Niigata,Kyoto Sanga,1,2
JAP,2025,regular,,Albirex Niigata,Machida Zelvia,0,4
JAP,2025,regular,,Albirex Niigata,Nagoya Grampus,0,0
JAP,2025,regular,,Albirex Niigata,Sanfrecce Hiroshima,0,2
JAP,2025,regular,,Albirex Niigata,Shonan Bellmare,2,1
JAP,2025,regular,,Albirex Niigata,Shimizu S-Pulse,0,1
JAP,2025,regular,,Albirex Niigata,FC Tokyo,2,3
JAP,2025,regular,,Albirex Niigata,Tokyo Verdy,2,2
JAP,2025,regular,,Albirex Niigata,Urawa Red Diamonds,1,1
JAP,2025,regular,,Albirex Niigata,Vissel Kobe,2,2
JAP,2025,regular,,Albirex Niigata,Yokohama FC,0,0
JAP,2025,regular,,Albirex Niigata,Yokohama F. Marinos,1,0
JAP,2025,regular,,Avispa Fukuoka,Albirex Niigata,3,2
JAP,2025,regular,,Avispa Fukuoka,Cerezo Osaka,2,4
JAP,2025,regular,,Avispa Fukuoka,Fagiano Okayama,1,1
JAP,2025,regular,,Avispa Fukuoka,Gamba Osaka,1,0
JAP,2025,regular,,Avispa Fukuoka,Kashima Antlers,0,1
JAP,2025,regular,,Avispa Fukuoka,Kashiwa Reysol,0,1
JAP,2025,regular,,Avispa Fukuoka,Kawasaki Frontale,1,2
JAP,2025,regular,,Avispa Fukuoka,Kyoto Sanga,2,2
JAP,2025,regular,,Avispa Fukuoka,Machida Zelvia,2,2
JAP,2025,regular,,Avispa Fukuoka,Nagoya Grampus,1,1
JAP,2025,regular,,Avispa Fukuoka,Sanfrecce Hiroshima,1,2
JAP,2025,regular,,Avispa Fukuoka,Shonan Bellmare,1,0
JAP,2025,regular,,Avispa Fukuoka,Shimizu S-Pulse,0,0
JAP,2025,regular,,Avispa Fukuoka,FC Tokyo,1,0
JAP,2025,regular,,Avispa Fukuoka,Tokyo Verdy,0,0
JAP,2025,regular,,Avispa Fukuoka,Urawa Red Diamonds,1,0
JAP,2025,regular,,Avispa Fukuoka,Vissel Kobe,0,0
JAP,2025,regular,,Avispa Fukuoka,Yokohama FC,1,0
JAP,2025,regular,,Avispa Fukuoka,Yokohama F. Marinos,2,1
