div,season,phase,date,home,away,fh,fa
RUS,2025-26,regular,,Akhmat Grozny,Akron Tolyatti,3,0
RUS,2025-26,regular,,Akhmat Grozny,Baltika Kaliningrad,1,1
RUS,2025-26,regular,,Akhmat Grozny,CSKA Moscow,1,0
RUS,2025-26,regular,,Akhmat Grozny,Dynamo Makhachkala,1,1
RUS,2025-26,regular,,Akhmat Grozny,Dynamo Moscow,2,1
RUS,2025-26,regular,,Akhmat Grozny,Krasnodar,0,1
RUS,2025-26,regular,,Akhmat Grozny,Krylia Sovetov Samara,3,1
RUS,2025-26,regular,,Akhmat Grozny,Lokomotiv Moscow,1,1
RUS,2025-26,regular,,Akhmat Grozny,Orenburg,1,0
RUS,2025-26,regular,,Akhmat Grozny,Pari Nizhny Novgorod,2,0
RUS,2025-26,regular,,Akhmat Grozny,Rostov,1,0
RUS,2025-26,regular,,Akhmat Grozny,Rubin Kazan,0,2
RUS,2025-26,regular,,Akhmat Grozny,Sochi,2,4
RUS,2025-26,regular,,Akhmat Grozny,Spartak Moscow,1,2
RUS,2025-26,regular,,Akhmat Grozny,Zenit Saint Petersburg,1,0
RUS,2025-26,regular,,Akron Tolyatti,Akhmat Grozny,1,1
RUS,2025-26,regular,,Akron Tolyatti,Baltika Kaliningrad,0,2
RUS,2025-26,regular,,Akron Tolyatti,CSKA Moscow,1,2
RUS,2025-26,regular,,Akron Tolyatti,Dynamo Makhachkala,1,1
RUS,2025-26,regular,,Akron Tolyatti,Dynamo Moscow,2,3
RUS,2025-26,regular,,Akron Tolyatti,Krasnodar,0,1
RUS,2025-26,regular,,Akron Tolyatti,Krylia Sovetov Samara,1,1
RUS,2025-26,regular,,Akron Tolyatti,Lokomotiv Moscow,1,1
RUS,2025-26,regular,,Akron Tolyatti,Orenburg,1,2
RUS,2025-26,regular,,Akron Tolyatti,Pari Nizhny Novgorod,1,2
RUS,2025-26,regular,,Akron Tolyatti,Rostov,1,3
RUS,2025-26,regular,,Akron Tolyatti,Rubin Kazan,2,2
RUS,2025-26,regular,,Akron Tolyatti,Sochi,3,2
RUS,2025-26,regular,,Akron Tolyatti,Spartak Moscow,1,1
RUS,2025-26,regular,,Akron Tolyatti,Zenit Saint Petersburg,1,1
RUS,2025-26,regular,,Baltika Kaliningrad,Akhmat Grozny,2,0
RUS,2025-26,regular,,Baltika Kaliningrad,Akron Tolyatti,0,1
RUS,2025-26,regular,,Baltika Kaliningrad,CSKA Moscow,1,0
RUS,2025-26,regular,,Baltika Kaliningrad,Dynamo Makhachkala,2,0
RUS,2025-26,regular,,Baltika Kaliningrad,Dynamo Moscow,1,2
RUS,2025-26,regular,,Baltika Kaliningrad,Krasnodar,1,1
RUS,2025-26,regular,,Baltika Kaliningrad,Krylia Sovetov Samara,2,0
RUS,2025-26,regular,,Baltika Kaliningrad,Lokomotiv Moscow,1,1
RUS,2025-26,regular,,Baltika Kaliningrad,Orenburg,3,2
RUS,2025-26,regular,,Baltika Kaliningrad,Pari Nizhny Novgorod,2,2
RUS,2025-26,regular,,Baltika Kaliningrad,Rostov,0,0
RUS,2025-26,regular,,Baltika Kaliningrad,Rubin Kazan,0,1
RUS,2025-26,regular,,Baltika Kaliningrad,Sochi,4,0
RUS,2025-26,regular,,Baltika Kaliningrad,Spartak Moscow,1,0
RUS,2025-26,regular,,Baltika Kaliningrad,Zenit Saint Petersburg,0,0
RUS,2025-26,regular,,CSKA Moscow,Akhmat Grozny,2,1
RUS,2025-26,regular,,CSKA Moscow,Akron Tolyatti,3,1
RUS,2025-26,regular,,CSKA Moscow,Baltika Kaliningrad,1,0
RUS,2025-26,regular,,CSKA Moscow,Dynamo Makhachkala,3,1
RUS,2025-26,regular,,CSKA Moscow,Dynamo Moscow,1,4
RUS,2025-26,regular,,CSKA Moscow,Krasnodar,1,1
RUS,2025-26,regular,,CSKA Moscow,Krylia Sovetov Samara,1,0
RUS,2025-26,regular,,CSKA Moscow,Lokomotiv Moscow,3,1
RUS,2025-26,regular,,CSKA Moscow,Orenburg,2,0
RUS,2025-26,regular,,CSKA Moscow,Pari Nizhny Novgorod,2,0
RUS,2025-26,regular,,CSKA Moscow,Rostov,1,1
RUS,2025-26,regular,,CSKA Moscow,Rubin Kazan,5,1
RUS,2025-26,regular,,CSKA Moscow,Sochi,0,1
RUS,2025-26,regular,,CSKA Moscow,Spartak Moscow,3,2
RUS,2025-26,regular,,CSKA Moscow,Zenit Saint Petersburg,1,3
RUS,2025-26,regular,,Dynamo Makhachkala,Akhmat Grozny,1,0
RUS,2025-26,regular,,Dynamo Makhachkala,Akron Tolyatti,1,1
RUS,2025-26,regular,,Dynamo Makhachkala,Baltika Kaliningrad,2,2
RUS,2025-26,regular,,Dynamo Makhachkala,CSKA Moscow,0,1
RUS,2025-26,regular,,Dynamo Makhachkala,Dynamo Moscow,1,0
RUS,2025-26,regular,,Dynamo Makhachkala,Krasnodar,0,2
RUS,2025-26,regular,,Dynamo Makhachkala,Krylia Sovetov Samara,2,0
RUS,2025-26,regular,,Dynamo Makhachkala,Lokomotiv Moscow,1,1
RUS,2025-26,regular,,Dynamo Makhachkala,Orenburg,1,0
RUS,2025-26,regular,,Dynamo Makhachkala,Pari Nizhny Novgorod,0,1
RUS,2025-26,regular,,Dynamo Makhachkala,Rostov,1,2
RUS,2025-26,regular,,Dynamo Makhachkala,Rubin Kazan,2,1
RUS,2025-26,regular,,Dynamo Makhachkala,Sochi,0,0
RUS,2025-26,regular,,Dynamo Makhachkala,Spartak Moscow,0,0
RUS,2025-26,regular,,Dynamo Makhachkala,Zenit Saint Petersburg,0,1
RUS,2025-26,regular,,Dynamo Moscow,Akhmat Grozny,2,2
RUS,2025-26,regular,,Dynamo Moscow,Akron Tolyatti,1,2
RUS,2025-26,regular,,Dynamo Moscow,Baltika Kaliningrad,1,1
RUS,2025-26,regular,,Dynamo Moscow,CSKA Moscow,1,3
RUS,2025-26,regular,,Dynamo Moscow,Dynamo Makhachkala,3,0
RUS,2025-26,regular,,Dynamo Moscow,Krasnodar,2,1
RUS,2025-26,regular,,Dynamo Moscow,Krylia Sovetov Samara,4,0
RUS,2025-26,regular,,Dynamo Moscow,Lokomotiv Moscow,3,5
