div,season,phase,date,home,away,fh,fa
SUI,2025-26,regular,,Basel,Grasshopper,2,1
SUI,2025-26,regular,,Basel,Lausanne-Sport,0,0
SUI,2025-26,regular,,Basel,Lugano,0,1
SUI,2025-26,regular,,Basel,Luzern,1,2
SUI,2025-26,regular,,Basel,Servette,1,1
SUI,2025-26,regular,,Basel,Sion,1,1
SUI,2025-26,regular,,Basel,St. Gallen,0,0
SUI,2025-26,regular,,Basel,Thun,1,2
SUI,2025-26,regular,,Basel,Winterthur,3,0
SUI,2025-26,regular,,Basel,Young Boys,4,1
SUI,2025-26,regular,,Basel,Zürich,2,0
SUI,2025-26,regular,,Grasshopper,Basel,1,1
SUI,2025-26,regular,,Grasshopper,Lausanne-Sport,3,1
SUI,2025-26,regular,,Grasshopper,Lugano,1,1
SUI,2025-26,regular,,Grasshopper,Luzern,2,3
SUI,2025-26,regular,,Grasshopper,Servette,0,1
SUI,2025-26,regular,,Grasshopper,Sion,0,1
SUI,2025-26,regular,,Grasshopper,St. Gallen,1,2
SUI,2025-26,regular,,Grasshopper,Thun,1,3
SUI,2025-26,regular,,Grasshopper,Winterthur,2,2
SUI,2025-26,regular,,Grasshopper,Young Boys,3,3
SUI,2025-26,regular,,Grasshopper,Zürich,3,0
SUI,2025-26,regular,,Lausanne-Sport,Basel,5,1
SUI,2025-26,regular,,Lausanne-Sport,Grasshopper,1,1
SUI,2025-26,regular,,Lausanne-Sport,Lugano,0,0
SUI,2025-26,regular,,Lausanne-Sport,Luzern,0,4
SUI,2025-26,regular,,Lausanne-Sport,Servette,1,3
SUI,2025-26,regular,,Lausanne-Sport,Sion,2,2
SUI,2025-26,regular,,Lausanne-Sport,St. Gallen,1,2
SUI,2025-26,regular,,Lausanne-Sport,Thun,2,1
SUI,2025-26,regular,,Lausanne-Sport,Winterthur,3,2
SUI,2025-26,regular,,Lausanne-Sport,Young Boys,5,0
SUI,2025-26,regular,,Lausanne-Sport,Zürich,1,2
SUI,2025-26,regular,,Lugano,Basel,3,1
SUI,2025-26,regular,,Lugano,Grasshopper,2,1
SUI,2025-26,regular,,Lugano,Lausanne-Sport,1,1
SUI,2025-26,regular,,Lugano,Luzern,2,0
SUI,2025-26,regular,,Lugano,Servette,4,2
SUI,2025-26,regular,,Lugano,Sion,1,1
SUI,2025-26,regular,,Lugano,St. Gallen,1,3
SUI,2025-26,regular,,Lugano,Thun,1,2
SUI,2025-26,regular,,Lugano,Winterthur,4,1
SUI,2025-26,regular,,Lugano,Young Boys,3,0
SUI,2025-26,regular,,Lugano,Zürich,1,0
SUI,2025-26,regular,,Luzern,Basel,1,2
SUI,2025-26,regular,,Luzern,Grasshopper,6,0
SUI,2025-26,regular,,Luzern,Lausanne-Sport,2,2
SUI,2025-26,regular,,Luzern,Lugano,2,5
SUI,2025-26,regular,,Luzern,Servette,2,2
SUI,2025-26,regular,,Luzern,Sion,3,3
SUI,2025-26,regular,,Luzern,St. Gallen,2,2
SUI,2025-26,regular,,Luzern,Thun,1,2
SUI,2025-26,regular,,Luzern,Winterthur,1,3
SUI,2025-26,regular,,Luzern,Young Boys,1,2
SUI,2025-26,regular,,Luzern,Zürich,1,1
SUI,2025-26,regular,,Servette,Basel,0,3
