div,n,P,traf,różnica_pp
ARG,468,0.8629,0.8611,-0.1824
AUT,959,0.8386,0.8332,-0.5425
Argentina | Primera Nacional,22,0.9071,1.0000,9.2925
B1,1726,0.8425,0.8308,-1.1706
B2,107,0.8270,0.7944,-3.2574
BRA,2216,0.8431,0.8588,1.5618
BRA2,480,0.8589,0.8646,0.5699
BUL,331,0.8444,0.8006,-4.3770
CAN,159,0.8389,0.7862,-5.2783
CHI,207,0.8377,0.8599,2.2250
CHN,1538,0.8427,0.8264,-1.6260
COL,166,0.8623,0.8554,-0.6906
CRO,220,0.8513,0.8682,1.6918
CZE,337,0.8487,0.8694,2.0780
D1,1961,0.8469,0.8659,1.8947
D2,1672,0.8287,0.8218,-0.6932
D3,344,0.8312,0.8488,1.7617
DEN,1218,0.8328,0.8227,-1.0109
E0,2207,0.8341,0.8378,0.3706
E1,2432,0.8444,0.8577,1.3305
E2,2452,0.8422,0.8471,0.4872
E3,2458,0.8428,0.8487,0.5887
EC,2946,0.8371,0.8530,1.5877
ECU,347,0.8494,0.8617,1.2306
England | National League N/S,41,0.8473,0.7805,-6.6774
F1,1838,0.8366,0.8183,-1.8331
F2,1404,0.8479,0.8234,-2.4529
FIN,1217,0.8349,0.8209,-1.4051
G1,1245,0.8518,0.8522,0.0393
Germany | Regionalliga,5,0.8293,1.0000,17.0656
HUN,112,0.8364,0.8214,-1.4977
I1,1946,0.8442,0.8520,0.7779
I2,1668,0.8436,0.8651,2.1520
IRL,355,0.8477,0.8310,-1.6750
IRN,88,0.8698,0.8182,-5.1647
Italy | Serie C,46,0.8755,0.9130,3.7519
JAP,1442,0.8444,0.8308,-1.3614
JAP2,115,0.8508,0.7739,-7.6908
KOR,148,0.8499,0.8311,-1.8856
MEX,373,0.8442,0.8338,-1.0417
N1,2199,0.8456,0.8636,1.8020
N2,590,0.8325,0.7949,-3.7594
NOR,816,0.8415,0.8640,2.2427
P1,1897,0.8537,0.8698,1.6078
PAR,122,0.8455,0.9262,8.0693
PER,346,0.8493,0.8179,-3.1359
POL,319,0.8414,0.8245,-1.6912
POL2,33,0.8991,0.7273,-17.1848
Peru | Liga 3,4,0.8388,1.0000,16.1166
ROM,150,0.8464,0.8067,-3.9764
RSA,99,0.8681,0.9293,6.1155
RUS,1109,0.8439,0.8720,2.8007
SC0,1357,0.8441,0.8290,-1.5036
SC1,792,0.8395,0.8119,-2.7642
SC2,941,0.8342,0.8459,1.1743
SC3,834,0.8379,0.8513,1.3373
SP1,2109,0.8478,0.8691,2.1362
SP2,1997,0.8493,0.8433,-0.6068
SRB,320,0.8413,0.8531,1.1861
SUI,1381,0.8318,0.8385,0.6748
SWE,681,0.8361,0.8341,-0.1994
SWE2,338,0.8395,0.8580,1.8528
Spain | Primera Division RFEF,15,0.8375,0.6667,-17.0883
T1,1764,0.8447,0.8401,-0.4565
UKR,204,0.8541,0.7892,-6.4851
URU,324,0.8568,0.8673,1.0530
USA,804,0.8345,0.8172,-1.7311
USA | MLS Next Pro,5,0.8296,1.0000,17.0365
USL,516,0.8389,0.8043,-3.4589
VEN,281,0.8494,0.8149,-3.4408
