rynek,p_model,p_kalibr,n
1,0.1353,0.1540,734
1,0.2148,0.2493,734
1,0.2646,0.2616,734
1,0.2981,0.3052,734
1,0.3249,0.3151,733
1,0.3477,0.3547,733
1,0.3668,0.3929,733
1,0.3927,0.3990,1466
1,0.4180,0.4256,733
1,0.4424,0.4461,1466
1,0.4678,0.4488,733
1,0.5086,0.4866,2199
1,0.5601,0.5566,733
1,0.6010,0.6289,733
1,0.6602,0.6658,733
1,0.7802,0.7776,733
12,0.6750,0.6853,734
12,0.6974,0.6894,734
12,0.7100,0.7234,1468
12,0.7320,0.7242,5864
12,0.7553,0.7456,2932
12,0.7787,0.7578,1466
12,0.8074,0.7899,733
12,0.8616,0.8486,733
1X,0.3413,0.3828,734
1X,0.4707,0.4768,734
1X,0.5328,0.5586,734
1X,0.5739,0.5845,734
1X,0.6151,0.6248,1466
1X,0.6555,0.6753,1466
1X,0.6796,0.6862,733
1X,0.7082,0.7017,2199
1X,0.7521,0.7613,2199
1X,0.7852,0.7817,733
1X,0.8065,0.8158,733
1X,0.8328,0.8649,733
1X,0.8681,0.8649,733
1X,0.9270,0.9291,733
2,0.0730,0.0708,734
2,0.1319,0.1349,734
2,0.1673,0.1349,734
2,0.1936,0.1839,734
2,0.2149,0.2196,733
2,0.2480,0.2383,2199
2,0.2919,0.2992,2199
2,0.3205,0.3151,733
2,0.3446,0.3240,1466
2,0.3851,0.3752,1466
2,0.4262,0.4134,733
2,0.4674,0.4434,733
2,0.5295,0.5239,733
2,0.6588,0.6166,733
BTTS_nie,0.3584,0.4087,734
BTTS_nie,0.3968,0.4155,734
BTTS_nie,0.4161,0.4183,734
BTTS_nie,0.4358,0.4335,1467
BTTS_nie,0.4570,0.4400,1466
BTTS_nie,0.4750,0.4502,1466
BTTS_nie,0.4873,0.4502,733
BTTS_nie,0.4956,0.4516,733
BTTS_nie,0.5166,0.4765,2932
BTTS_nie,0.5527,0.5061,2199
BTTS_nie,0.5856,0.5157,733
BTTS_nie,0.6486,0.5621,733
BTTS_tak,0.3514,0.4373,734
BTTS_tak,0.4144,0.4850,734
BTTS_tak,0.4474,0.4939,2201
BTTS_tak,0.4834,0.5235,2932
BTTS_tak,0.5044,0.5471,733
BTTS_tak,0.5209,0.5507,2199
BTTS_tak,0.5431,0.5587,1466
BTTS_tak,0.5643,0.5675,1466
BTTS_tak,0.5840,0.5812,733
BTTS_tak,0.6033,0.5839,733
BTTS_tak,0.6416,0.5921,733
DNB_1,0.1680,0.1867,541
DNB_1,0.2841,0.3290,541
DNB_1,0.3579,0.3771,541
DNB_1,0.4102,0.3974,541
DNB_1,0.4512,0.4824,541
DNB_1,0.4848,0.5009,541
DNB_1,0.5111,0.5083,541
DNB_1,0.5473,0.5721,1082
DNB_1,0.5807,0.5804,541
DNB_1,0.6117,0.5961,1082
DNB_1,0.6677,0.6673,1623
DNB_1,0.7195,0.7190,541
DNB_1,0.7523,0.7667,540
DNB_1,0.7922,0.8241,540
DNB_1,0.8444,0.8444,540
DNB_1,0.9208,0.9222,540
DNB_2,0.0793,0.0776,541
DNB_2,0.1558,0.1553,541
DNB_2,0.2080,0.1774,541
DNB_2,0.2479,0.2329,541
DNB_2,0.2807,0.2810,541
DNB_2,0.3325,0.3327,1623
DNB_2,0.3885,0.4048,1082
DNB_2,0.4195,0.4177,541
DNB_2,0.4529,0.4288,1082
DNB_2,0.4891,0.4917,541
DNB_2,0.5154,0.5009,541
DNB_2,0.5491,0.5194,541
DNB_2,0.5901,0.6000,540
DNB_2,0.6424,0.6204,540
