rynek,przedzial,n,P_model,trafnosc,przesuniecie
1,"[0.7, 0.8)",424,0.7402,0.7515,0.0
1,"[0.8, 0.9)",135,0.8362,0.8554,0.0
1,"[0.9, 1.01)",29,0.9279,0.7481,-0.0159
12,"[0.7, 0.8)",11225,0.7442,0.7369,-0.0071
12,"[0.8, 0.9)",998,0.83,0.8258,-0.0032
12,"[0.9, 1.01)",65,0.9258,0.7664,-0.0284
1X,"[0.7, 0.8)",4298,0.747,0.744,-0.0029
1X,"[0.8, 0.9)",1956,0.8409,0.8227,-0.0158
1X,"[0.9, 1.01)",444,0.9301,0.9594,0.0
2,"[0.7, 0.8)",90,0.7347,0.7436,0.0
2,"[0.8, 0.9)",18,0.8295,0.7427,-0.0049
BTTS_nie,"[0.7, 0.8)",2,0.705,1.0,0.0
BTTS_nie,"[0.8, 0.9)",3,0.8634,1.0,0.0
BTTS_nie,"[0.9, 1.01)",3,1.0,0.3359,-0.0066
BTTS_tak,"[0.7, 0.8)",1,0.7055,1.0,0.0
DNB_1,"[0.7, 0.8)",1524,0.7459,0.7244,-0.018
DNB_1,"[0.8, 0.9)",773,0.8449,0.8365,-0.0061
DNB_1,"[0.9, 1.01)",252,0.932,0.9638,0.0
DNB_2,"[0.7, 0.8)",420,0.7454,0.7131,-0.0188
DNB_2,"[0.8, 0.9)",188,0.8399,0.8102,-0.0115
DNB_2,"[0.9, 1.01)",29,0.9249,0.8659,-0.0052
HT_O0.5,"[0.7, 0.8)",3098,0.7275,0.7514,0.0
HT_O0.5,"[0.8, 0.9)",90,0.827,0.8061,-0.0048
HT_O0.5,"[0.9, 1.01)",1,0.9025,1.0,0.0
O0.5,"[0.7, 0.8)",2,0.7949,1.0,0.0
O0.5,"[0.8, 0.9)",1971,0.8831,0.9098,0.0
O0.5,"[0.9, 1.01)",11214,0.932,0.9426,0.0
O1.5,"[0.7, 0.8)",7546,0.7501,0.7713,0.0
O1.5,"[0.8, 0.9)",2604,0.8285,0.8346,0.0
O1.5,"[0.9, 1.01)",68,0.9249,0.9723,0.0
O2.5,"[0.7, 0.8)",132,0.7349,0.8332,0.0
O2.5,"[0.8, 0.9)",23,0.846,0.8883,0.0
O2.5,"[0.9, 1.01)",1,0.9037,1.0,0.0
U2.5,"[0.7, 0.8)",69,0.7249,0.5521,-0.0323
U2.5,"[0.9, 1.01)",3,0.9237,1.0,0.0
U3.5,"[0.7, 0.8)",6641,0.7481,0.7201,-0.0268
U3.5,"[0.8, 0.9)",1439,0.8267,0.7729,-0.0445
U3.5,"[0.9, 1.01)",12,0.9339,1.0,0.0
U4.5,"[0.7, 0.8)",1388,0.7693,0.7784,0.0
U4.5,"[0.8, 0.9)",8619,0.8578,0.8491,-0.0084
U4.5,"[0.9, 1.01)",3039,0.9192,0.892,-0.0248
X2,"[0.7, 0.8)",1520,0.7419,0.7261,-0.0132
X2,"[0.8, 0.9)",549,0.8376,0.7976,-0.0258
X2,"[0.9, 1.01)",63,0.9241,0.9201,-0.0007
gosp_O0.5,"[0.7, 0.8)",6015,0.7526,0.7859,0.0
gosp_O0.5,"[0.8, 0.9)",3544,0.8401,0.8543,0.0
gosp_O0.5,"[0.9, 1.01)",577,0.9262,0.9542,0.0
gosp_O1.5,"[0.7, 0.8)",303,0.7394,0.7509,0.0
gosp_O1.5,"[0.8, 0.9)",75,0.834,0.9066,0.0
gosp_O1.5,"[0.9, 1.01)",15,0.9268,0.9096,-0.0008
gość_O0.5,"[0.7, 0.8)",4341,0.743,0.7635,0.0
gość_O0.5,"[0.8, 0.9)",1246,0.8378,0.844,0.0
gość_O0.5,"[0.9, 1.01)",86,0.9237,0.927,0.0
gość_O1.5,"[0.7, 0.8)",40,0.7418,0.7454,0.0
gość_O1.5,"[0.8, 0.9)",11,0.8272,0.5733,-0.009
