sport,rodzina,p_model,p_kalibr,n
baseball,handicap,0.1300,0.1128,57908
baseball,handicap,0.1595,0.1338,57908
baseball,handicap,0.1896,0.1590,57908
baseball,handicap,0.2230,0.1886,57908
baseball,handicap,0.2595,0.2245,57908
baseball,handicap,0.2989,0.2647,57908
baseball,handicap,0.3408,0.3117,57908
baseball,handicap,0.3847,0.3594,57908
baseball,handicap,0.4302,0.4073,57908
baseball,handicap,0.4766,0.4547,57908
baseball,handicap,0.5234,0.5017,57907
baseball,handicap,0.5698,0.5478,57907
baseball,handicap,0.6153,0.5941,57907
baseball,handicap,0.6592,0.6422,57907
baseball,handicap,0.7011,0.6918,57907
baseball,handicap,0.7405,0.7372,57907
baseball,handicap,0.7770,0.7778,57907
baseball,handicap,0.8104,0.8124,57907
baseball,handicap,0.8405,0.8415,57907
baseball,handicap,0.8700,0.8751,57907
baseball,suma O,0.1341,0.1291,28954
baseball,suma O,0.1636,0.1488,28954
baseball,suma O,0.1937,0.1721,28954
baseball,suma O,0.2269,0.1984,28954
baseball,suma O,0.2631,0.2250,28954
baseball,suma O,0.3021,0.2545,28954
baseball,suma O,0.3434,0.2891,28954
baseball,suma O,0.3867,0.3251,28954
baseball,suma O,0.4315,0.3655,28954
baseball,suma O,0.4771,0.4073,28954
baseball,suma O,0.5231,0.4524,28954
baseball,suma O,0.5687,0.5003,28954
baseball,suma O,0.6135,0.5475,28954
baseball,suma O,0.6568,0.5954,28954
baseball,suma O,0.6981,0.6444,28954
baseball,suma O,0.7371,0.6917,28953
baseball,suma O,0.7732,0.7378,28953
baseball,suma O,0.8064,0.7813,28953
baseball,suma O,0.8365,0.8226,28953
baseball,suma O,0.8660,0.8715,28953
baseball,suma U,0.1340,0.1116,28954
baseball,suma U,0.1635,0.1420,28954
baseball,suma U,0.1936,0.1793,28954
baseball,suma U,0.2268,0.2207,28954
baseball,suma U,0.2629,0.2651,28954
baseball,suma U,0.3019,0.3098,28954
baseball,suma U,0.3432,0.3588,28954
baseball,suma U,0.3865,0.4063,28954
baseball,suma U,0.4313,0.4543,28954
baseball,suma U,0.4769,0.5026,28954
baseball,suma U,0.5229,0.5510,28954
baseball,suma U,0.5685,0.5930,28954
baseball,suma U,0.6133,0.6365,28954
baseball,suma U,0.6566,0.6771,28954
baseball,suma U,0.6979,0.7127,28954
baseball,suma U,0.7369,0.7472,28953
baseball,suma U,0.7731,0.7754,28953
baseball,suma U,0.8063,0.8042,28953
baseball,suma U,0.8364,0.8278,28953
baseball,suma U,0.8659,0.8596,28953
futbol amerykański,handicap,0.1276,0.1220,6418
futbol amerykański,handicap,0.1543,0.1376,6418
futbol amerykański,handicap,0.1846,0.1715,6418
futbol amerykański,handicap,0.2182,0.1957,6418
futbol amerykański,handicap,0.2551,0.2362,6418
futbol amerykański,handicap,0.2950,0.2674,6418
futbol amerykański,handicap,0.3376,0.3141,6418
futbol amerykański,handicap,0.3824,0.3571,6418
futbol amerykański,handicap,0.4288,0.4123,6418
futbol amerykański,handicap,0.4762,0.4674,6418
futbol amerykański,handicap,0.5239,0.5150,6418
futbol amerykański,handicap,0.5713,0.5734,6418
futbol amerykański,handicap,0.6177,0.6235,6417
futbol amerykański,handicap,0.6624,0.6774,6417
futbol amerykański,handicap,0.7050,0.7156,6417
futbol amerykański,handicap,0.7449,0.7592,6417
