sport,rodzina,p_model,p_kalibr,n
snooker,handicap,0.0085,0.0171,7532
snooker,handicap,0.0439,0.0681,7532
snooker,handicap,0.1001,0.1244,7532
snooker,handicap,0.1790,0.2076,7532
snooker,handicap,0.2878,0.3097,7532
snooker,handicap,0.4247,0.4275,7532
snooker,handicap,0.5753,0.5725,7532
snooker,handicap,0.7122,0.6903,7532
snooker,handicap,0.8210,0.7924,7532
snooker,handicap,0.8999,0.8756,7532
snooker,handicap,0.9561,0.9319,7532
snooker,handicap,0.9915,0.9829,7532
snooker,suma,0.0546,0.0661,3766
snooker,suma,0.1457,0.1575,3766
snooker,suma,0.2242,0.2331,3766
snooker,suma,0.2854,0.2868,3766
snooker,suma,0.3612,0.3542,3766
snooker,suma,0.4540,0.4628,3766
snooker,suma,0.5460,0.5372,3766
snooker,suma,0.6388,0.6458,3766
snooker,suma,0.7146,0.7132,3766
snooker,suma,0.7758,0.7669,3766
snooker,suma,0.8543,0.8425,3766
snooker,suma,0.9454,0.9339,3766
snooker,zwycięzca,0.0867,0.1543,972
snooker,zwycięzca,0.1977,0.2531,972
snooker,zwycięzca,0.2795,0.3416,972
snooker,zwycięzca,0.3489,0.3858,972
snooker,zwycięzca,0.4109,0.4331,972
snooker,zwycięzca,0.4709,0.4722,972
snooker,zwycięzca,0.5294,0.5283,971
snooker,zwycięzca,0.5894,0.5664,971
snooker,zwycięzca,0.6513,0.6148,971
snooker,zwycięzca,0.7207,0.6581,971
snooker,zwycięzca,0.8024,0.7477,971
snooker,zwycięzca,0.9134,0.8455,971
dart,handicap,0.0113,0.0142,3446
dart,handicap,0.0406,0.0450,3446
dart,handicap,0.0947,0.1039,3446
dart,handicap,0.1727,0.1834,3446
dart,handicap,0.2794,0.2861,3446
dart,handicap,0.4191,0.4199,3446
dart,handicap,0.5809,0.5801,3446
dart,handicap,0.7206,0.7139,3446
dart,handicap,0.8273,0.8166,3446
dart,handicap,0.9053,0.8961,3446
dart,handicap,0.9594,0.9550,3446
dart,handicap,0.9887,0.9858,3446
dart,suma,0.0336,0.0424,1723
dart,suma,0.1134,0.1393,1723
dart,suma,0.1934,0.1892,1723
dart,suma,0.2613,0.2728,1723
dart,suma,0.3458,0.3558,1723
dart,suma,0.4727,0.4510,1723
dart,suma,0.5273,0.5490,1723
dart,suma,0.6542,0.6442,1723
dart,suma,0.7387,0.7272,1723
dart,suma,0.8066,0.8108,1723
dart,suma,0.8866,0.8607,1723
dart,suma,0.9664,0.9576,1723
dart,zwycięzca,0.1951,0.2012,338
dart,zwycięzca,0.2891,0.2781,338
dart,zwycięzca,0.3470,0.3462,338
dart,zwycięzca,0.3976,0.3994,338
dart,zwycięzca,0.4407,0.4273,337
dart,zwycięzca,0.4810,0.4510,337
dart,zwycięzca,0.5194,0.5460,337
dart,zwycięzca,0.5599,0.5786,337
dart,zwycięzca,0.6028,0.5994,337
dart,zwycięzca,0.6534,0.6558,337
dart,zwycięzca,0.7112,0.7211,337
dart,zwycięzca,0.8051,0.7982,337
