rodzina,p_model,p_kalibr,n
faule O,0.0858,0.1125,1715
faule O,0.1482,0.1644,1715
faule O,0.1979,0.2105,1715
faule O,0.2454,0.2373,1715
faule O,0.2915,0.3102,1715
faule O,0.3375,0.3487,1715
faule O,0.3831,0.3755,1715
faule O,0.4271,0.4367,1715
faule O,0.4705,0.4542,1715
faule O,0.5132,0.5201,1715
faule O,0.5540,0.5347,1715
faule O,0.5932,0.6000,1715
faule O,0.6312,0.6274,1715
faule O,0.6686,0.6542,1715
faule O,0.7035,0.6863,1715
faule O,0.7365,0.7265,1715
faule O,0.7682,0.7592,1715
faule O,0.7988,0.7708,1715
faule O,0.8275,0.8262,1715
faule O,0.8545,0.8455,1715
faule O,0.8808,0.8635,1714
faule O,0.9067,0.8985,1714
faule O,0.9320,0.9236,1714
faule O,0.9575,0.9475,1714
faule O,0.9832,0.9807,1714
faule U,0.0168,0.0192,1715
faule U,0.0425,0.0525,1715
faule U,0.0680,0.0764,1715
faule U,0.0933,0.1015,1715
faule U,0.1193,0.1382,1715
faule U,0.1456,0.1528,1715
faule U,0.1726,0.1743,1715
faule U,0.2013,0.2286,1715
faule U,0.2319,0.2420,1715
faule U,0.2636,0.2735,1715
faule U,0.2966,0.3137,1715
faule U,0.3315,0.3469,1715
faule U,0.3690,0.3708,1715
faule U,0.4069,0.4012,1715
faule U,0.4461,0.4647,1715
faule U,0.4869,0.4805,1715
faule U,0.5296,0.5458,1715
faule U,0.5730,0.5638,1715
faule U,0.6170,0.6245,1715
faule U,0.6626,0.6513,1715
faule U,0.7086,0.6902,1714
faule U,0.7547,0.7625,1714
faule U,0.8022,0.7894,1714
faule U,0.8518,0.8355,1714
faule U,0.9142,0.8874,1714
rożne O,0.1005,0.1599,2001
rożne O,0.1487,0.2004,2001
rożne O,0.1816,0.2194,2001
rożne O,0.2115,0.2544,2001
rożne O,0.2407,0.2779,2001
rożne O,0.2695,0.2894,2001
rożne O,0.2996,0.3223,2001
rożne O,0.3309,0.3403,2001
rożne O,0.3621,0.3783,2001
rożne O,0.3953,0.3998,2001
rożne O,0.4298,0.4448,2001
rożne O,0.4642,0.4663,2001
rożne O,0.4995,0.5092,2001
rożne O,0.5359,0.5342,2001
rożne O,0.5715,0.5737,2001
rożne O,0.6067,0.5975,2000
rożne O,0.6430,0.6385,2000
rożne O,0.6768,0.6645,2000
rożne O,0.7095,0.7000,2000
rożne O,0.7424,0.7210,2000
rożne O,0.7735,0.7570,2000
rożne O,0.8025,0.7850,2000
rożne O,0.8328,0.8135,2000
rożne O,0.8651,0.8350,2000
rożne O,0.9077,0.8700,2000
rożne U,0.0923,0.1299,2001
rożne U,0.1349,0.1649,2001
rożne U,0.1673,0.1864,2001
rożne U,0.1976,0.2149,2001
rożne U,0.2266,0.2439,2001
rożne U,0.2576,0.2789,2001
rożne U,0.2906,0.2999,2001
rożne U,0.3234,0.3353,2001
rożne U,0.3572,0.3628,2001
rożne U,0.3935,0.4018,2001
rożne U,0.4287,0.4268,2001
rożne U,0.4643,0.4658,2001
rożne U,0.5006,0.4923,2001
rożne U,0.5360,0.5322,2001
rożne U,0.5704,0.5557,2001
rożne U,0.6049,0.6005,2000
rożne U,0.6380,0.6215,2000
rożne U,0.6692,0.6585,2000
rożne U,0.7005,0.6790,2000
rożne U,0.7306,0.7105,2000
rożne U,0.7594,0.7230,2000
rożne U,0.7885,0.7455,2000
rożne U,0.8184,0.7800,2000
rożne U,0.8513,0.8000,2000
rożne U,0.8995,0.8400,2000
rożne gosp O,0.1271,0.1819,1429
rożne gosp O,0.1967,0.2519,1429
rożne gosp O,0.2433,0.2666,1429
rożne gosp O,0.2847,0.3317,1429
rożne gosp O,0.3213,0.3387,1429
rożne gosp O,0.3572,0.3842,1429
rożne gosp O,0.3926,0.3891,1429
rożne gosp O,0.4290,0.4367,1429
rożne gosp O,0.4643,0.4773,1429
rożne gosp O,0.4991,0.4913,1429
rożne gosp O,0.5520,0.5294,2858
rożne gosp O,0.6057,0.5843,1429
rożne gosp O,0.6410,0.6158,1429
rożne gosp O,0.6743,0.6368,1429
rożne gosp O,0.7072,0.6732,1429
rożne gosp O,0.7394,0.6809,1429
rożne gosp O,0.7702,0.7334,1429
rożne gosp O,0.8001,0.7383,1429
rożne gosp O,0.8274,0.7803,1429
rożne gosp O,0.8646,0.8132,2858
rożne gosp O,0.9004,0.8516,1429
rożne gosp O,0.9249,0.8768,1429
rożne gosp O,0.9561,0.9027,1429
rożne gosp U,0.0439,0.0973,1429
rożne gosp U,0.0751,0.1232,1429
rożne gosp U,0.0996,0.1484,1429
rożne gosp U,0.1354,0.1868,2858
rożne gosp U,0.1726,0.2197,1429
rożne gosp U,0.1999,0.2617,1429
rożne gosp U,0.2298,0.2666,1429
rożne gosp U,0.2606,0.3191,1429
rożne gosp U,0.2928,0.3268,1429
rożne gosp U,0.3257,0.3632,1429
rożne gosp U,0.3590,0.3842,1429
rożne gosp U,0.3943,0.4157,1429
rożne gosp U,0.4480,0.4706,2858
rożne gosp U,0.5009,0.5087,1429
rożne gosp U,0.5357,0.5227,1429
rożne gosp U,0.5710,0.5633,1429
rożne gosp U,0.6074,0.6109,1429
rożne gosp U,0.6428,0.6158,1429
rożne gosp U,0.6787,0.6613,1429
rożne gosp U,0.7153,0.6683,1429
rożne gosp U,0.7567,0.7334,1429
rożne gosp U,0.8033,0.7481,1429
rożne gosp U,0.8729,0.8181,1429
rożne gość O,0.0601,0.1246,1429
rożne gość O,0.1013,0.1456,1429
rożne gość O,0.1319,0.1868,1429
rożne gość O,0.1748,0.2180,2858
rożne gość O,0.2163,0.2575,1429
rożne gość O,0.2458,0.2617,1429
rożne gość O,0.2761,0.2995,1429
rożne gość O,0.3242,0.3293,2858
rożne gość O,0.3914,0.3772,2858
rożne gość O,0.4457,0.4556,1429
rożne gość O,0.4838,0.4724,1429
rożne gość O,0.5218,0.4941,1429
rożne gość O,0.5598,0.5304,1429
rożne gość O,0.5982,0.5451,1429
rożne gość O,0.6369,0.5934,1429
rożne gość O,0.6743,0.6130,1429
rożne gość O,0.7299,0.6875,2858
rożne gość O,0.7822,0.7390,1429
rożne gość O,0.8169,0.7509,1429
rożne gość O,0.8545,0.7859,1429
rożne gość O,0.9077,0.8488,1429
rożne gość U,0.0923,0.1512,1429
rożne gość U,0.1455,0.2141,1429
rożne gość U,0.1831,0.2491,1429
rożne gość U,0.2178,0.2610,1429
rożne gość U,0.2701,0.3125,2858
rożne gość U,0.3257,0.3870,1429
rożne gość U,0.3631,0.4066,1429
rożne gość U,0.4018,0.4549,1429
rożne gość U,0.4402,0.4696,1429
rożne gość U,0.4782,0.5059,1429
rożne gość U,0.5162,0.5276,1429
rożne gość U,0.5543,0.5444,1429
rożne gość U,0.6086,0.6228,2858
rożne gość U,0.6758,0.6707,2858
rożne gość U,0.7239,0.7005,1429
rożne gość U,0.7542,0.7383,1429
rożne gość U,0.7837,0.7425,1429
rożne gość U,0.8252,0.7820,2858
rożne gość U,0.8681,0.8132,1429
rożne gość U,0.8987,0.8544,1429
rożne gość U,0.9399,0.8754,1429
strzały_celne O,0.1160,0.1942,1715
strzały_celne O,0.1723,0.2070,1715
strzały_celne O,0.2098,0.2501,1715
strzały_celne O,0.2443,0.2606,1715
strzały_celne O,0.2752,0.3050,1715
strzały_celne O,0.3065,0.3341,1715
strzały_celne O,0.3379,0.3563,1715
strzały_celne O,0.3694,0.3755,1715
strzały_celne O,0.4000,0.4216,1715
strzały_celne O,0.4319,0.4397,1715
strzały_celne O,0.4649,0.4729,1715
strzały_celne O,0.4979,0.4886,1715
strzały_celne O,0.5301,0.5440,1715
strzały_celne O,0.5628,0.5679,1715
strzały_celne O,0.5963,0.6064,1715
strzały_celne O,0.6291,0.6227,1715
strzały_celne O,0.6607,0.6612,1715
strzały_celne O,0.6914,0.6962,1715
strzały_celne O,0.7226,0.7131,1715
strzały_celne O,0.7522,0.7487,1715
strzały_celne O,0.7806,0.7748,1714
strzały_celne O,0.8091,0.7964,1714
strzały_celne O,0.8393,0.8186,1714
strzały_celne O,0.8716,0.8594,1714
strzały_celne O,0.9189,0.8961,1714
strzały_celne U,0.0811,0.1044,1715
strzały_celne U,0.1284,0.1411,1715
strzały_celne U,0.1608,0.1802,1715
strzały_celne U,0.1909,0.2041,1715
strzały_celne U,0.2195,0.2251,1715
strzały_celne U,0.2478,0.2519,1715
strzały_celne U,0.2775,0.2863,1715
strzały_celne U,0.3087,0.3050,1715
strzały_celne U,0.3394,0.3388,1715
strzały_celne U,0.3710,0.3778,1715
strzały_celne U,0.4038,0.3930,1715
strzały_celne U,0.4373,0.4315,1715
strzały_celne U,0.4700,0.4560,1715
strzały_celne U,0.5022,0.5114,1715
strzały_celne U,0.5352,0.5271,1715
strzały_celne U,0.5682,0.5603,1715
strzały_celne U,0.6001,0.5796,1715
strzały_celne U,0.6307,0.6233,1715
strzały_celne U,0.6622,0.6449,1715
strzały_celne U,0.6936,0.6659,1715
strzały_celne U,0.7248,0.6949,1714
strzały_celne U,0.7558,0.7398,1714
strzały_celne U,0.7902,0.7491,1714
strzały_celne U,0.8277,0.7929,1714
strzały_celne U,0.8840,0.8063,1714
strzały_celne gosp O,0.1411,0.1757,1144
strzały_celne gosp O,0.2070,0.2439,1144
strzały_celne gosp O,0.2515,0.2657,1144
strzały_celne gosp O,0.2875,0.2937,1144
strzały_celne gosp O,0.3372,0.3463,2287
strzały_celne gosp O,0.3859,0.3902,1143
strzały_celne gosp O,0.4182,0.4191,1143
strzały_celne gosp O,0.4486,0.4646,1143
strzały_celne gosp O,0.4798,0.4803,1143
strzały_celne gosp O,0.5263,0.5175,2286
strzały_celne gosp O,0.5724,0.5678,1143
strzały_celne gosp O,0.6037,0.5888,1143
