sport,p_model,p_kalibr,n
baseball,0.5091,0.5066,3028
baseball,0.5262,0.5073,3028
baseball,0.5437,0.5301,3028
baseball,0.5613,0.5301,3028
baseball,0.5797,0.5301,3028
baseball,0.5992,0.5301,3028
baseball,0.6202,0.5578,3028
baseball,0.6428,0.5578,3027
baseball,0.6682,0.5583,3027
baseball,0.6985,0.5742,3027
baseball,0.7365,0.6036,3027
baseball,0.8042,0.6442,3027
dart,0.5115,0.5519,212
dart,0.5356,0.5519,212
dart,0.5597,0.5613,212
dart,0.5829,0.5613,212
dart,0.6071,0.6038,212
dart,0.6320,0.6038,212
dart,0.6598,0.6415,212
dart,0.6906,0.6415,212
dart,0.7223,0.6415,211
dart,0.7580,0.7204,211
dart,0.8046,0.7251,211
dart,0.8751,0.7678,211
esport_cs2,0.5077,0.5323,186
esport_cs2,0.5237,0.5323,186
esport_cs2,0.5405,0.5484,186
esport_cs2,0.5605,0.5676,185
esport_cs2,0.5797,0.6108,185
esport_cs2,0.5986,0.6324,185
esport_cs2,0.6195,0.6432,185
esport_cs2,0.6456,0.6432,185
esport_cs2,0.6775,0.6703,185
esport_cs2,0.7119,0.6865,185
esport_cs2,0.7535,0.7568,185
esport_cs2,0.8379,0.8595,185
esport_lol,0.5069,0.5154,1230
esport_lol,0.5214,0.5260,1230
esport_lol,0.5359,0.5260,1230
esport_lol,0.5513,0.5821,1230
esport_lol,0.5671,0.5821,1230
esport_lol,0.5842,0.6228,1230
esport_lol,0.6034,0.6439,1230
esport_lol,0.6248,0.6683,1230
esport_lol,0.6490,0.6683,1230
esport_lol,0.6781,0.7160,1229
esport_lol,0.7191,0.7567,1229
esport_lol,0.7966,0.8332,1229
futbol amerykański,0.5129,0.5118,254
futbol amerykański,0.5376,0.5354,254
futbol amerykański,0.5610,0.6102,254
futbol amerykański,0.5842,0.6102,254
futbol amerykański,0.6094,0.6142,254
futbol amerykański,0.6346,0.6142,254
futbol amerykański,0.6605,0.6299,254
futbol amerykański,0.6898,0.6417,254
futbol amerykański,0.7229,0.7520,254
futbol amerykański,0.7595,0.7520,254
futbol amerykański,0.8009,0.7549,253
futbol amerykański,0.8675,0.8182,253
hokej,0.5091,0.5110,1268
hokej,0.5281,0.5110,1268
hokej,0.5462,0.5513,1268
hokej,0.5651,0.5513,1268
hokej,0.5844,0.5513,1268
hokej,0.6045,0.5588,1267
hokej,0.6265,0.5714,1267
hokej,0.6501,0.6006,1267
hokej,0.6756,0.6062,1267
hokej,0.7065,0.6062,1267
hokej,0.7464,0.6433,1267
hokej,0.8170,0.7151,1267
koszykówka,0.5150,0.5294,1481
koszykówka,0.5458,0.5348,1481
koszykówka,0.5771,0.5604,1481
koszykówka,0.6083,0.5757,1480
koszykówka,0.6392,0.5899,1480
koszykówka,0.6721,0.6318,1480
koszykówka,0.7068,0.6574,1480
koszykówka,0.7414,0.6757,1480
koszykówka,0.7780,0.6892,1480
koszykówka,0.8191,0.7338,1480
koszykówka,0.8641,0.7811,1480
koszykówka,0.9210,0.8676,1480
rugby,0.5127,0.5927,410
rugby,0.5397,0.5927,410
rugby,0.5649,0.5927,410
rugby,0.5844,0.5927,410
rugby,0.5983,0.6073,410
rugby,0.6253,0.6463,410
rugby,0.6541,0.6724,409
rugby,0.6830,0.7311,409
rugby,0.7182,0.7311,409
rugby,0.7573,0.7848,409
rugby,0.8025,0.8533,409
rugby,0.8715,0.8851,409
snooker,0.5114,0.4982,2244
snooker,0.5333,0.5570,2244
snooker,0.5559,0.5570,2244
snooker,0.5793,0.5940,2244
snooker,0.6043,0.6176,2244
snooker,0.6308,0.6176,2244
snooker,0.6591,0.6551,2244
snooker,0.6898,0.6551,2244
snooker,0.7242,0.7126,2244
snooker,0.7624,0.7509,2244
snooker,0.8097,0.7865,2244
snooker,0.8833,0.8547,2244
