sport,liga,sezon,data,druzyna,gp,w,d,l,otw,otl,gf,ga
hokej,KHL,2025-26,2026-03-15,Lokomotiv Yaroslavl,68,34,0,16,12,6,185,135
hokej,KHL,2025-26,2026-03-15,Dinamo Minsk,68,33,0,19,6,10,247,173
hokej,KHL,2025-26,2026-03-15,Severstal Cherepovets,68,29,0,22,11,6,197,185
hokej,KHL,2025-26,2026-03-15,CSKA Moscow,68,33,0,22,5,8,162,144
hokej,KHL,2025-26,2026-03-15,SKA Saint Petersburg,68,28,0,24,9,7,197,170
hokej,KHL,2025-26,2026-03-15,Torpedo Nizhny Novgorod,68,27,0,24,10,7,191,191
hokej,KHL,2025-26,2026-03-15,Dynamo Moscow,68,26,0,25,12,5,188,174
hokej,KHL,2025-26,2026-03-15,Spartak Moscow,68,29,0,24,6,9,204,201
hokej,KHL,2025-26,2026-03-15,Shanghai Dragons,68,16,0,35,5,12,166,238
hokej,KHL,2025-26,2026-03-15,Lada Togliatti,68,17,0,41,3,7,157,240
hokej,KHL,2025-26,2026-03-15,HC Sochi,68,16,0,42,2,8,139,233
hokej,KHL,2025-26,2026-03-15,Metallurg Magnitogorsk,68,37,0,12,12,7,252,184
hokej,KHL,2025-26,2026-03-15,Avangard Omsk,68,36,0,16,11,5,228,159
hokej,KHL,2025-26,2026-03-15,Ak Bars Kazan,68,38,0,17,5,8,212,169
hokej,KHL,2025-26,2026-03-15,Avtomobilist Yekaterinburg,68,32,0,24,8,4,206,164
hokej,KHL,2025-26,2026-03-15,Salavat Yulaev Ufa,68,27,0,26,9,6,180,171
hokej,KHL,2025-26,2026-03-15,Traktor Chelyabinsk,68,28,0,26,5,9,205,195
hokej,KHL,2025-26,2026-03-15,Neftekhimik Nizhnekamsk,68,25,0,31,9,3,170,188
hokej,KHL,2025-26,2026-03-15,Sibir Novosibirsk,68,15,0,29,15,9,160,195
hokej,KHL,2025-26,2026-03-15,Amur Khabarovsk,68,22,0,34,4,8,157,192
hokej,KHL,2025-26,2026-03-15,Barys Astana,68,16,0,35,5,12,154,208
hokej,KHL,2025-26,2026-03-15,Admiral Vladivostok,68,16,0,36,4,12,161,209
hokej,SHL,2025-26,2026-03-15,Skellefteå AIK,52,30,0,10,6,6,182,121
hokej,SHL,2025-26,2026-03-15,Frölunda HC,52,30,0,15,4,3,161,106
hokej,SHL,2025-26,2026-03-15,Växjö Lakers,52,26,0,16,6,4,150,136
hokej,SHL,2025-26,2026-03-15,Rögle BK,52,25,0,14,5,8,155,123
hokej,SHL,2025-26,2026-03-15,Färjestad BK,52,21,0,20,6,5,145,131
hokej,SHL,2025-26,2026-03-15,Brynäs IF,52,19,0,20,8,5,154,143
hokej,SHL,2025-26,2026-03-15,Luleå HF,52,21,0,22,5,4,139,134
hokej,SHL,2025-26,2026-03-15,Malmö Redhawks,52,21,0,23,6,2,143,154
hokej,SHL,2025-26,2026-03-15,Djurgårdens IF,52,20,0,24,5,3,136,164
hokej,SHL,2025-26,2026-03-15,Örebro HK,52,17,0,24,4,7,139,158
hokej,SHL,2025-26,2026-03-15,Linköping HC,52,17,0,26,4,5,119,148
hokej,SHL,2025-26,2026-03-15,Timrå IK,52,17,0,27,4,4,127,148
hokej,SHL,2025-26,2026-03-15,Leksands IF,52,16,0,27,2,7,112,160
hokej,Liiga,2025-26,2026-03-15,Tappara,60,35,0,16,3,6,226,149
hokej,Liiga,2025-26,2026-03-15,KooKoo,60,33,0,18,7,2,217,155
hokej,Liiga,2025-26,2026-03-15,SaiPa,60,31,0,16,6,7,204,162
hokej,Liiga,2025-26,2026-03-15,Ilves,60,29,0,19,8,4,186,152
hokej,Liiga,2025-26,2026-03-15,Lukko,60,28,0,19,9,4,185,157
hokej,Liiga,2025-26,2026-03-15,JYP,60,26,0,17,11,6,202,180
hokej,Liiga,2025-26,2026-03-15,KalPa,60,28,0,19,7,6,185,179
hokej,Liiga,2025-26,2026-03-15,Ässät,60,26,0,24,6,4,170,165
hokej,Liiga,2025-26,2026-03-15,Kiekko-Espoo,60,23,0,21,5,11,157,155
hokej,Liiga,2025-26,2026-03-15,HIFK,60,25,0,26,4,5,149,183
hokej,Liiga,2025-26,2026-03-15,Pelicans,60,20,0,24,9,7,137,156
hokej,Liiga,2025-26,2026-03-15,HPK,60,16,0,26,9,9,144,167
hokej,Liiga,2025-26,2026-03-15,TPS,60,16,0,28,7,9,141,177
hokej,Liiga,2025-26,2026-03-15,Kärpät,60,16,0,32,6,6,175,197
hokej,Liiga,2025-26,2026-03-15,Jukurit,60,15,0,32,6,7,131,171
hokej,Liiga,2025-26,2026-03-15,Sport,60,9,0,39,1,11,108,212
hokej,Extraliga CZ,2025-26,2026-03-15,Pardubice,52,26,0,12,7,7,165,117
hokej,Extraliga CZ,2025-26,2026-03-15,Plzeň,52,25,0,14,5,8,142,104
hokej,Extraliga CZ,2025-26,2026-03-15,Liberec,52,25,0,14,3,10,148,121
hokej,Extraliga CZ,2025-26,2026-03-15,Mountfield HK,52,24,0,18,8,2,141,120
hokej,Extraliga CZ,2025-26,2026-03-15,Třinec,52,23,0,18,7,4,148,131
hokej,Extraliga CZ,2025-26,2026-03-15,Karlovy Vary,52,22,0,17,8,5,138,130
hokej,Extraliga CZ,2025-26,2026-03-15,Sparta Praha,52,23,0,18,6,5,161,135
hokej,Extraliga CZ,2025-26,2026-03-15,Kometa Brno,52,20,0,21,5,6,141,149
hokej,Extraliga CZ,2025-26,2026-03-15,České Budějovice,52,18,0,22,6,6,143,148
hokej,Extraliga CZ,2025-26,2026-03-15,Kladno,52,18,0,23,5,6,129,137
hokej,Extraliga CZ,2025-26,2026-03-15,Vítkovice,52,18,0,23,5,6,135,160
hokej,Extraliga CZ,2025-26,2026-03-15,Olomouc,52,19,0,27,3,3,124,158
hokej,Extraliga CZ,2025-26,2026-03-15,Mladá Boleslav,52,15,0,26,6,5,102,140
hokej,Extraliga CZ,2025-26,2026-03-15,Litvínov,52,11,0,34,3,4,107,174
hokej,DEL,2025-26,2026-03-15,Kölner Haie,52,36,0,11,3,2,200,136
hokej,DEL,2025-26,2026-03-15,Adler Mannheim,52,29,0,13,6,4,182,122
hokej,DEL,2025-26,2026-03-15,Straubing Tigers,52,32,0,17,2,1,180,150
hokej,DEL,2025-26,2026-03-15,EHC Red Bull München,52,29,0,15,5,3,179,126
hokej,DEL,2025-26,2026-03-15,ERC Ingolstadt,52,28,0,19,5,0,197,152
hokej,DEL,2025-26,2026-03-15,Eisbären Berlin,52,23,0,19,6,4,171,157
hokej,DEL,2025-26,2026-03-15,Fischtown Pinguins,52,24,0,21,4,3,162,154
hokej,DEL,2025-26,2026-03-15,Grizzlys Wolfsburg,52,20,0,22,3,7,156,153
hokej,DEL,2025-26,2026-03-15,Schwenninger Wild Wings,52,21,0,25,3,3,147,157
hokej,DEL,2025-26,2026-03-15,Nürnberg Ice Tigers,52,20,0,26,2,4,162,178
hokej,DEL,2025-26,2026-03-15,Augsburger Panther,52,13,0,24,6,9,150,189
hokej,DEL,2025-26,2026-03-15,Iserlohn Roosters,52,14,0,28,6,4,131,167
hokej,DEL,2025-26,2026-03-15,Löwen Frankfurt,52,13,0,28,3,8,132,196
hokej,DEL,2025-26,2026-03-15,Dresdner Eislöwen,52,6,0,40,2,4,109,221
hokej,National League CH,2025-26,2026-03-15,HC Davos,52,34,0,8,5,5,191,120
hokej,National League CH,2025-26,2026-03-15,HC Fribourg-Gottéron,52,24,0,13,13,2,172,126
hokej,National League CH,2025-26,2026-03-15,Genève-Servette HC,52,26,0,18,5,3,162,147
hokej,National League CH,2025-26,2026-03-15,ZSC Lions,52,25,0,15,4,8,147,115
hokej,National League CH,2025-26,2026-03-15,HC Lugano,52,26,0,17,2,7,150,120
hokej,National League CH,2025-26,2026-03-15,Lausanne HC,52,22,0,18,7,5,155,137
hokej,National League CH,2025-26,2026-03-15,SC Rapperswil-Jona Lakers,52,21,0,19,6,6,150,154
hokej,National League CH,2025-26,2026-03-15,EV Zug,52,20,0,20,3,9,126,145
hokej,National League CH,2025-26,2026-03-15,SC Bern,52,15,0,23,9,5,118,128
hokej,National League CH,2025-26,2026-03-15,EHC Biel,52,14,0,23,10,5,143,165
hokej,National League CH,2025-26,2026-03-15,SCL Tigers,52,16,0,24,4,8,140,147
hokej,National League CH,2025-26,2026-03-15,EHC Kloten,52,15,0,24,5,8,117,143
hokej,Extraliga SK,2025-26,2026-03-15,Nitra,50,29,0,11,6,4,172,118
hokej,Extraliga SK,2025-26,2026-03-15,Košice,50,26,0,14,2,8,141,121
hokej,Extraliga SK,2025-26,2026-03-15,Žilina,50,24,0,16,5,5,153,134
hokej,Extraliga SK,2025-26,2026-03-15,Banská Bystrica,50,23,0,18,5,4,167,146
hokej,Extraliga SK,2025-26,2026-03-15,Poprad,50,19,0,18,8,5,162,133
hokej,Extraliga SK,2025-26,2026-03-15,Spišská Nová Ves,50,19,0,21,5,5,129,139
hokej,Extraliga SK,2025-26,2026-03-15,Liptovský Mikuláš,50,16,0,20,6,8,153,163
hokej,Extraliga SK,2025-26,2026-03-15,Michalovce,50,17,0,23,4,6,156,168
hokej,Extraliga SK,2025-26,2026-03-15,Zvolen,50,14,0,23,9,4,152,163
hokej,Extraliga SK,2025-26,2026-03-15,Trenčín,50,13,0,24,3,10,112,150
hokej,Extraliga SK,2025-26,2026-03-15,Prešov,50,9,0,35,4,2,94,195
koszykówka,PLK,2025-26,2026-05-08,Legia Warsaw,30,22,0,8,0,0,2603,2401
koszykówka,PLK,2025-26,2026-05-08,Wilki Morskie Szczecin,30,21,0,9,0,0,2538,2479
koszykówka,PLK,2025-26,2026-05-08,Śląsk Wrocław,30,20,0,10,0,0,2687,2537
koszykówka,PLK,2025-26,2026-05-08,Trefl Sopot,30,19,0,11,0,0,2640,2534
koszykówka,PLK,2025-26,2026-05-08,Dziki Warsaw,30,18,0,12,0,0,2726,2549
koszykówka,PLK,2025-26,2026-05-08,Arka Gdynia,30,18,0,12,0,0,2570,2465
koszykówka,PLK,2025-26,2026-05-08,Anwil Włocławek,30,17,0,13,0,0,2653,2537
koszykówka,PLK,2025-26,2026-05-08,Zastal Zielona Góra,30,16,0,14,0,0,2538,2438
koszykówka,PLK,2025-26,2026-05-08,MKS Dąbrowa Górnicza,30,16,0,14,0,0,2651,2600
